KONTO_NR;KONTO_BEZ;KONTO_TYP;KONTO_GRP;KONTO_ART
"70446";"Taboola Germany";"Passiva";"Kreditor";"Kreditor"
"70447";"Löffel Elektrotechnik GmbH";"Passiva";"Kreditor";"Kreditor"
"70448";"ELEKTRO-FISCHER";"Passiva";"Kreditor";"Kreditor"
"70449";"Keep Moments - Veranstaltungstechnik Alte";"Passiva";"Kreditor";"Kreditor"
"70450";"0BI GmbH & Co. Deutschland KG, Filiale Berlin - Steglitz";"Passiva";"Kreditor";"Kreditor"
"70451";"0BI Heimwerkermarkt GmbH a Co.KG Filiale Rangsdorf";"Passiva";"Kreditor";"Kreditor"
"70452";"HEM Tankstelle Bozena Bober";"Passiva";"Kreditor";"Kreditor"
"70453";"Sprint Tankstelle Ploehn";"Passiva";"Kreditor";"Kreditor"
"70454";"UNI Elektro Fachgroßhandel GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70455";"ESS0 Station Monika Beddig ESS0 STATI0N";"Passiva";"Kreditor";"Kreditor"
"70456";"SHELL STATI0N P. Killmayer T. V. & B. GmbH";"Passiva";"Kreditor";"Kreditor"
"70457";"Valentin Software GmbH";"Passiva";"Kreditor";"Kreditor"
"70459";"Adobe Systems Software Ireland Limited";"Passiva";"Kreditor";"Kreditor"
"70460";"Freepik Company SL";"Passiva";"Kreditor";"Kreditor"
"70461";"Aufladen.de";"Passiva";"Kreditor";"Kreditor"
"70462";"Hellweg die Profi-Baumärkte GmbH & Co. KG";"Passiva";"Kreditor";"Kreditor"
"70463";"Digistore24 GmbH";"Passiva";"Kreditor";"Kreditor"
"70464";"Builderall";"Passiva";"Kreditor";"Kreditor"
"70465";"Netfix Services Germany GmbH";"Passiva";"Kreditor";"Kreditor"
"70466";"openAI";"Passiva";"Kreditor";"Kreditor"
"70467";"Bauhaus 596 Berlin";"Passiva";"Kreditor";"Kreditor"
"70468";"JET-Tankstelle TS-Nr.  Dana Kolwitz";"Passiva";"Kreditor";"Kreditor"
"70469";"Aral Center Madeleine Walther-Schulz";"Passiva";"Kreditor";"Kreditor"
"70470";"invoicefetcher UG";"Passiva";"Kreditor";"Kreditor"
"70471";"PageOne Traffic Inc";"Passiva";"Kreditor";"Kreditor"
"70472";"Aral Tankstelle Mirco Engelbrecht";"Passiva";"Kreditor";"Kreditor"
"70473";"SUN Petrol Tankstelle";"Passiva";"Kreditor";"Kreditor"
