KontoNr;KontoBezeichnung;Name;Vorname;Strasse;PLZ;Ort;Land;UStID;StNr;KontoArt
"70285";"SegenSolar GmbH";"SegenSolar GmbH";;"Dieselstr. 2";"50859";"Köln";"DE";;;"K"
"70286";"Stadt Iömenau";"Stadt Iömenau";;;;;;;;"K"
"70287";"Riverty Services GmbH";"Riverty Services GmbH";;;;;;"DE241977674";;"K"
"70288";"BG Bau ";"BG Bau ";;;;;;;;"K"
"70289";"SHELL STATI0N FSG GmbH P.Svar0vskY";"SHELL STATI0N FSG GmbH P.Svar0vskY";;"Spandauer Allee 7";"16761";"Hennigsdorf";"DE";"DE811127593";;"K"
"70290";"Marchä Berlin Brandenburg Flughafen Mövenpick Café Terminal";"Marchä Berlin Brandenburg Flughafen Mövenpick Café Terminal";;"Platz S";"12059";"Berlin";"DE";"DE147795915";;"K"
"70291";"KUNDENBELEG SUN lankstefle";"KUNDENBELEG SUN lankstefle";;"Klosterstr. 20";"13581";"Berlin";"DE";;;"K"
"70292";"Jet Tankstelle TS-Nr  Martin Breuer";"Jet Tankstelle TS-Nr  Martin Breuer";;"Charlottenburger Chaussee 17";"13597";"Berlin";"DE";;;"K"
"70293";"Ringfoto Fehse, Jörg Fehse GmbH";"Ringfoto Fehse, Jörg Fehse GmbH";;"Breite Str. 17";"13597";"Berlin";"DE";"DE233966111";;"K"
"70294";"Qonto";"Qonto";;;;;"DE";"FR10819489626";;"K"
"70295";"KUNOENBELLG SUN iamkstelle";"KUNOENBELLG SUN iamkstelle";;"Klosterstr. 20";"13581";"Berlin";"DE";;;"K"
"70296";"AC Eurogida GmbH";"AC Eurogida GmbH";;;;;;"DE239225280";;"K"
"70297";"bprint eutelle Christoph Plühn";"bprint eutelle Christoph Plühn";;"Otternbuchtstr. 37";"13599";"Berlin";"DE";;;"K"
"70298";"NAKA24 GmbH";"NAKA24 GmbH";;"Hinterstr. 16";"15306";"Seelow";"DE";"DE321649879";;"K"
"70299";"Powerplant Solar GmbH";"Powerplant Solar GmbH";;"Industriestr. 7";"47495";"Rheinberg";"DE";"DE321850173";;"K"
"70300";"810 C0MPANY SE";"810 C0MPANY SE";;"Klosterstr.";"13581";"Berlin";"DE";"DE815889941";;"K"
"70301";"ELEKTRIESEKatarzyna KlincewiczWolnosci 117, 58-260 Bielawa";"ELEKTRIESEKatarzyna KlincewiczWolnosci 117, 58-260 Bielawa";;;;"Berlin";"DE";"DE303463670";;"K"
"70302";"HelIweg Die Profi-Baumärkte GmbH & Co. KG";"HelIweg Die Profi-Baumärkte GmbH & Co. KG";;"Möbel-Hübner-Str. 7";"16356";"Ahrensfelde";"DE";"DE124898583";;"K"
"70303";"Berlin, Spandau Arcaden";"Berlin, Spandau Arcaden";;"Klosterstr. 3";"13581";"Berlin";"DE";"DE205499794";;"K"
"70304";"Oskar Böttcher GmbH";"Oskar Böttcher GmbH";;;;"Berlin";"DE";;;"K"
"70305";"Leiser Berlin";"Leiser Berlin";;"Klosterstr. 3";"13581";"Berlin";"DE";"DE127484852";;"K"
"70306";"Globe  Fachmärkte GmbH a Co. KG 05 BFM Germendorf";"Globe  Fachmärkte GmbH a Co. KG 05 BFM Germendorf";;"Strasse Am Globus 1";"16515";"Oranienburg";"DE";"DE163646243";;"K"
"70307";"Ansbacher Apotheke Frau Traudl Vogel";"Ansbacher Apotheke Frau Traudl Vogel";;"Ansbacher Str. 13";"10787";"Berlin";"DE";"DE256696410";;"K"
"70308";"Sushi City Nollendorfstrasse";"Sushi City Nollendorfstrasse";;"Nollendorfstr. 26";"10777";"Berlin";"DE";;;"K"
"70309";"Besserladen.de";"Besserladen.de";;"An den Hühneräckern 3";"97456";"Dittelbrunn";"DE";"DE329409987";;"K"
"70310";"SAT-World GmbH";"SAT-World GmbH";;"Konrad-Zuse-Str. 1";"35440";"Linden";"DE";"DE813304682";;"K"
"70311";"elektroland24 GmbH & Co. KG";"elektroland24 GmbH & Co. KG";;"Kreuzweg 45";"25492";"Heist";"DE";"DE325206717";;"K"
"70312";"mein-elektro24.com";"mein-elektro24.com";;"Basdorfer Weg 1G 1";"16348";"Wandlitz";"DE";"DE325514610";;"K"
"70313";"SEC SolarEnergyConsult";"SEC SolarEnergyConsult";;"Berliner Chaussee 11";"39307";"Genthin";"DE";"DE286925086";;"K"
"70314";"mkk - meine krankenkasse";"mkk - meine krankenkasse";;"Lindenstraße 67";"10969";"Berlin";"DE";;;"K"
"70315";"IMO Autopflege WS 524 Kyriaki Eleftheriadou";"IMO Autopflege WS 524 Kyriaki Eleftheriadou";;"Streitstr. 82";"13587";"Berlin";"DE";;;"K"
"70316";"EOV.de GmbH";"EOV.de GmbH";;"Luisenstr. 5";"38118";"Braunschweig";"DE";;;"K"
"70317";"Memodo GmbH";"Memodo GmbH";;"Eichenstr. 11";"85445";"Oberding";"DE";"DE318463541";;"K"
"70318";"Buchungsbestätigung BLICHUNOSNUMMER. 3026.887.286";"Buchungsbestätigung BLICHUNOSNUMMER. 3026.887.286";;"Berliner Str. 37";"17279";"Lychen";"DE";;;"K"
"70319";"FEB Fördergesellschaft";"FEB Fördergesellschaft";;"Wilhelminenhofstr. 75";"12459";"Berlin";"DE";"DE136740018";;"K"
"70320";"Prime Solar Solutions UG";"Prime Solar Solutions UG";;"Ekenhoff 20";"49545";"Tecklenburg";"DE";"DE330674047";;"K"
"70321";"Bosswerk GmbH & Co. KG";"Bosswerk GmbH & Co. KG";;"Herrenpfad 38";"41334";"Nettetal";"DE";"DE278206864";;"K"
"70322";"DAA GmbH";"DAA GmbH";;"Am Sandtorkai 73";"20457";"Hamburg";"DE";"DE271602161";;"K"
"70323";"Jennifer Schäffner";"Jennifer Schäffner";;"Weinsberger Str. 76";"74076";"Heilbronn";"DE";"DE344774864";;"K"
"70324";"Kundenbeleg HZA Berlin Zollzahlstelle";"Kundenbeleg HZA Berlin Zollzahlstelle";;;;;;;;"K"
"70325";"Renova ";"Renova ";;;;;;;;"K"
"70326";"KingB Trading GmbH";"KingB Trading GmbH";;"Siegfriedstr. 20";"12051";"Berlin";"DE";"DE355563295";;"K"
"70327";"TotalEnergies Tankstelle TO Autoservice GmbH";"TotalEnergies Tankstelle TO Autoservice GmbH";;"Heerstr. 35-37";"14055";"Berlin";"DE";"DE307562356";;"K"
"70328";"0BI GmbH & Co. Deutschland KG Filiale Berlin Spandau";"0BI GmbH & Co. Deutschland KG Filiale Berlin Spandau";;"Wilhelmstr. 8";"13595";"Berlin";"DE";;;"K"
"70329";"Jagdnaus Spandau";"Jagdnaus Spandau";;"Niederneuendorfer Allee";"13587";"Berlin";"DE";;;"K"
"70330";"0BI OrbH & Co. Deutschland KG Fillaie Berlin Spandau";"0BI OrbH & Co. Deutschland KG Fillaie Berlin Spandau";;"Wilhelmstr. 8";"13595";"Berlin";"DE";;;"K"
"70331";"BORGA GmbH";"BORGA GmbH";;"Jakobikirchhof 6";"28195";"Bremen";"DE";"DE354314628";;"K"
"70332";"Dachbau GmbH";"Dachbau GmbH";;"Thomasiusstr. 27";"10557";"Berlin";"DE";;;"K"
"70333";"Bauhaus Fachcentren Umbil & Co. KG 604 DERLIN";"Bauhaus Fachcentren Umbil & Co. KG 604 DERLIN";;"Nahmitzer Damm 26";"12277";"Berlin";"DE";;;"K"
"70334";"Cafe Lutetia";"Cafe Lutetia";;;;;;;;"K"
"70335";"Bakra Sp Z.O.O";"Bakra Sp Z.O.O";;;;;;;;"K"
"70336";"Vadenfall Europe Sales GmbH";"Vadenfall Europe Sales GmbH";;"Markstr. 36";"13409";"Berlin";"DE";"DE813577496";;"K"
"70337";"Quartier Apotheke. Die Gesundheitsexperten vor Ort.";"Quartier Apotheke. Die Gesundheitsexperten vor Ort.";;;;;;;;"K"
"70338";"Ara an<ste _ e Gordon FirleY";"Ara an<ste _ e Gordon FirleY";;"Arthur-Scheunert-Allee 73";"14558";"Nuthetal";"DE";;;"K"
"70339";"Tier GmbH ";"Tier GmbH ";;;;;;;;"K"
"70340";"star- Tankstelle Eyleen Bredenhagen";"star- Tankstelle Eyleen Bredenhagen";;"Adlergestell 391";"12527";"Berlin";"DE";;;"K"
"70341";"Altstadt späti";"Altstadt späti";;"Breitestr. 46";"13597";"Berlin";"DE";;;"K"
"70342";"Nahkauf Ronny Farber";"Nahkauf Ronny Farber";;"Am Marktplatz 1";"14547";"Beelitz";"DE";;;"K"
"70343";"HEM-Panketal f52";"HEM-Panketal f52";;"Dorfstr. 1a";"16341";"Panketal";"DE";;;"K"
"70344";"Bezirksamt Neukölln von Berlin";"Bezirksamt Neukölln von Berlin";;;;;;;;"K"
"70345";"Stadt Keit n/Have] Havelfähre "Charlotte";"Stadt Keit n/Have] Havelfähre "Charlotte";;"An der Fähre";"14669";"Ketzin";"DE";;;"K"
"70346";"EDEKA Meissner";"EDEKA Meissner";;"Nollendorfplatz 8-9";"10777";"Berlin";"DE";"DE354430058";;"K"
"70347";"Blume 2000 SE";"Blume 2000 SE";;"Carl-Schurz-Str. 42";"13597";"Berlin";"DE";"DE814160990";;"K"
"70348";"Altstadt Späti";"Altstadt Späti";;"Breite Str. 46";"13597";"Berlin";"DE";;;"K"
"70349";"mein";"mein";;"Neuendorfer Str. 25-30";"13585";"Berlin";"DE";;"Lidl";"K"
"70350";"Kosteneinziehungsstelle der Justiz ";"Kosteneinziehungsstelle der Justiz ";;"Altstädter Ring 7";"13597";"Berlin";"DE";;;"K"
"70351";"RA Christof Maurer";"RA Christof Maurer";;"Saarbrücker Str. 10";"66130";"Saarbrücken";"DE";;;"K"
"70352";"Shell Station";"Shell Station";;"Martin-Luther-Str. 29";"10777";"Berlin";"DE";;;"K"
"70353";"BORGA GmbH";"BORGA GmbH";;" Jakobikirchhof 6";"28195";"Bremen";"DE";;;"K"
"70354";"Optiker Bode";"Optiker Bode";;"Karl-Marx-Str. 88";"12043";"Berlin";"DE";;;"K"
"70355";"0ptiker Bode OmbH";"0ptiker Bode OmbH";;"Karl-Marx-Str. 88";"12043";"Berlin";"DE";;;"K"
"70356";"Lidl";"Lidl";;"Neuendorfer Str. 25-30";"13585";"Berlin";"DE";"DE813388858";;"K"
"70357";"SUN Tankstelle";"SUN Tankstelle";;"Klosterstr.";"13581";"Berlin";"DE";;;"K"
"70358";"SHELL Station";"SHELL Station";;"Oranienstr. 19-139";"10969";"Berlin";"DE";"DE326315589";;"K"
"70359";"KTG Baumaschinen GmbH";"KTG Baumaschinen GmbH";;"Chemnitzer Str. 10";"12621";"Berlin";"DE";;;"K"
"70360";"Bauhaus GmbH & Co. KG";"Bauhaus GmbH & Co. KG";;"An den Freiheitswiesen 6";"13597";"Berlin";"DE";;;"K"
"70361";"Sprint Tankstelle";"Sprint Tankstelle";;"Ruhlebener Str. 1A";"13597";"Berlin";"DE";;;"K"
"70362";"Altstadt Späti";"Altstadt Späti";;"Breite Str.";"13597";"Berlin";"DE";;;"K"
"70363";"Aktiv Werbung Freiburg";"Aktiv Werbung Freiburg";;;;;;;;"K"
"70364";"Neuformhaus am Markt";"Neuformhaus am Markt";;"Moritzstr. 1";"13597";"Berlin";"DE";;;"K"
"70365";"Tabak Zeitschriften Lotto Schuhbauer";"Tabak Zeitschriften Lotto Schuhbauer";;"Kurfürstenstr. 114";"10787";"Berlin";"DE";;;"K"
"70366";"Sushi Mana, Inh. Mhd. Jumaa Adilla";"Sushi Mana, Inh. Mhd. Jumaa Adilla";;"Gotzowskystr. 29";"10555";"Berlin";"DE";;;"K"
"70367";"Kath Hasenfuss Recycling GmbH";"Kath Hasenfuss Recycling GmbH";;"Werdauer Weg 11";"10829";"Berlin";"DE";;;"K"
"70368";"Shell Station ";"Shell Station ";;"Karower Damm 35";"13129";"Berlin";"DE";;;"K"
"70369";"P0C0 EinrichtüngsMärkte GmbH Filiale Ber1in-Kreuzber0";"P0C0 EinrichtüngsMärkte GmbH Filiale Ber1in-Kreuzber0";;"Blücherplatz";"10961";"Berlin";"DE";"DE320200481";;"K"
"70370";"SHELL STATI0N M. Scheffel Tankstellen GmbH";"SHELL STATI0N M. Scheffel Tankstellen GmbH";;"Skalitzer Str. 47";"10997";"Berlin";"DE";"DE811127597";;"K"
"70371";"Total Energies Station Steven Hanke";"Total Energies Station Steven Hanke";;"Veltener Str. 22";"16761";"Hennigsdorf";"DE";"DE297502082";;"K"
"70372";"Sprint Tankstelle Christoph Plöhn";"Sprint Tankstelle Christoph Plöhn";;"Otternbuchtstr. 37";"13599";"Berlin";"DE";"DE136562560";;"K"
"70373";"Kremer Hausverwaltungen GmbH";"Kremer Hausverwaltungen GmbH";;"Danckelmannstr. 9";"14059";"Berlin";"DE";"DE136716899";;"K"
"70374";"SHELL STATI0N m. Scheffel Tankstellen Gcbil";"SHELL STATI0N m. Scheffel Tankstellen Gcbil";;"Hohenzollerndamm 41";"10713";"Berlin";"DE";"DE811127597";;"K"
"70375";"lila Bäcker";"lila Bäcker";;"Hauptstr. 15-19";"16547";"Birkenwerder";"DE";;;"K"
"70376";"Schmitt's Allerlei";"Schmitt's Allerlei";;"Hauptstr. 24";"91278";"Pottenstein";"DE";;;"K"
"70377";"Restaurant Meilenstein";"Restaurant Meilenstein";;"Am Juliusturm 104";"13597";"Berlin";"DE";;;"K"
"70378";"TotalEnergies Tankstelle Sabine Elss";"TotalEnergies Tankstelle Sabine Elss";;"Pegnitzer Str. 31";"91278";"Pottenstein";"DE";;;"K"
"70379";"Jagdhaus Restaurant";"Jagdhaus Restaurant";;;;;;;;"K"
"70380";"Lydia Dienert TotalEnergies Station";"Lydia Dienert TotalEnergies Station";;"Streitstr. 84";"13587";"Berlin";"DE";;;"K"
"70381";"0BI Fillaie Fillaie Berlin";"0BI Fillaie Fillaie Berlin";;"Wilhelmstr. 8";"13595";"Berlin";"DE";;;"K"
"70382";"Alnatur Super Natur Markt";"Alnatur Super Natur Markt";;"Heerstraße 221";"13595 ";"Berlin";"DE";;;"K"
"70383";"Aral Tankstelle";"Aral Tankstelle";;"Reichsstr. 13-14";"14052";"Berlin";"DE";;;"K"
"70384";"Aral Tankstelle";"Aral Tankstelle";;"Heerstr. 136";"14055";"Berlin";"DE";;;"K"
"70385";"ESSO Station Stephanie John";"ESSO Station Stephanie John";;"Falkenseer Chaussee 50";"13583";"Berlin";"DE";;;"K"
"70386";"EDEKA Fil. 54E0";"EDEKA Fil. 54E0";;"Mönchstr.";"13597";"Berlin";"DE";;;"K"
"70387";"HEM-Tankstelle Lychen";"HEM-Tankstelle Lychen";;"Fontanestr. 7";"17279";"Lychen";"DE";;;"K"
"70388";"Obeta Elektro Vertriebsgesellschaft mbH";"Obeta Elektro Vertriebsgesellschaft mbH";;"Motzener Str. 40";"12277";"Berlin";"DE";;;"K"
"70389";"0BI GmbH & Co. Deutschland KG, Filiale Berlin";"0BI GmbH & Co. Deutschland KG, Filiale Berlin";;"Buchberger Str. 5";"10365";"Berlin";"DE";"DE123711890";;"K"
"70390";"Fairmount GmbH";"Fairmount GmbH";;"Grimmaische Str. 78";"04720";"Döbeln";"DE";;;"K"
"70391";"KUN0ENBELEG SUN Tankstelle";"KUN0ENBELEG SUN Tankstelle";;"Klosterstr.";"13581";"Berlin";"DE";;;"K"
"70392";"ESS0 Stati0n Monika Beddig ESSO STATI0N";"ESS0 Stati0n Monika Beddig ESSO STATI0N";;"Heerstr. 2E15";"13595";"Berlin";"DE";;;"K"
"70393";"Norma";"Norma";;"Rudolf-Breitscheid-Str. 162";"14482";"Potsdam";"DE";"DE132746925";;"K"
"70394";"Rewe";"Rewe";;"Am Ostbahnhof 9";"10243";"Berlin";"DE";"DE812706034";;"K"
"70395";"Bad•Apotheke'";"Bad•Apotheke'";;"Frankfurter Str. 27";"49214";"Bad Rothenfelde";"DE";"DE117585157";;"K"
"70396";"Flink SE ";"Flink SE ";;"Brunnenstraße 19-21";"10119";"Berlin";"DE";;;"K"
"70397";"MyHammer GmbH";"MyHammer GmbH";;"Franklinstr. 28/29";"10587";"Berlin";"DE";"DE213752411";;"K"
"70398";"SelfStorage Dein Lagerraum GmbH";"SelfStorage Dein Lagerraum GmbH";;"Heerstr. 221";"13595";"Berlin";"DE";"DE215275737";;"K"
"70399";"EN Leads GmbH";"EN Leads GmbH";;"Luisenstr. 5";"38118";"Braunschweig";"DE";;;"K"
"70400";"Apple";"Apple";;;;;;"IE9700053D";;"K"
"70401";"1&1 Telecom GmbH";"1&1 Telecom GmbH";;"Elgendorfer Str. 57";"56410";"Montabaur";"DE";"DE273413910";;"K"
"70402";"HDI Versicherung AG";"HDI Versicherung AG";;"Postfach 510260";"30632 ";"Hannover";"DE";"DE813596664";;"K"
"70403";"ENJOY KEBAB";"ENJOY KEBAB";;"Neue Kantstr.";"14057";"Berlin";"DE";;;"K"
"70404";"Pizza luna ";"Pizza luna ";;;;;;;;"K"
"70405";"Rewe Schneider";"Rewe Schneider";;;;;;"DE255621148";;"K"
"70406";"HELLWEG";"HELLWEG";;;;;;"DE359540540";;"K"
"70407";"Presse & Tabak-Center";"Presse & Tabak-Center";;"Brixplatz";"14052";"Berlin";"DE";;;"K"
"70408";"star- TarKstelle Felix Riehs";"star- TarKstelle Felix Riehs";;"Otto-Suhr-Allee 132";"10585";"Berlin";"DE";;;"K"
"70409";"TotalEnergies Tankstelle";"TotalEnergies Tankstelle";;"Heerstr. 35-3";"14055";"Berlin";"DE";;;"K"
"70410";"Bauhaus mbH & Co. KG Hasenheide";"Bauhaus mbH & Co. KG Hasenheide";;"Hasenheide 108-114";"10967";"Berlin";"DE";"DE135558025";;"K"
"70411";"SUN lankstelle";"SUN lankstelle";;"Klosterstr. 20";"13581";"Berlin";"DE";;;"K"
"70412";"Bauhaus 643 BERLIN-KUDAMM";"Bauhaus 643 BERLIN-KUDAMM";;"Kurfürstendamm 129a";"10711";"Berlin";"DE";"DE136658017";;"K"
"70413";"TotalEnergies Station Lydia Dienert";"TotalEnergies Station Lydia Dienert";;"Streitstr. 64";"13587";"Berlin";"DE";;;"K"
"70414";"Bauhaus 623 BERLIN-SPANDAU";"Bauhaus 623 BERLIN-SPANDAU";;"An den Freiheitswiesen 6";"13597";"Berlin";"DE";"DE136658017";;"K"
"70415";"KIEZKNEIPE";"KIEZKNEIPE";;"Neuendorfer Str.";"13585";"Berlin";"DE";;;"K"
"70416";"TotalEnergies Tankstelle Antje Waterstradt";"TotalEnergies Tankstelle Antje Waterstradt";;"Bulgarische Str. 9";"12435";"Berlin";"DE";"DE362357373";;"K"
"70417";"HEM Bozena Bober";"HEM Bozena Bober";;"Waltersdorfer Chaussee 24";"12529";"Schönefeld";"DE";;;"K"
